Food,Price,Protein (g),Carbohydrates (g),Fats (g),Fibre (g),Saturated Fats (g),Serving (g),Calcium (mg),Copper (µg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Selenium (µg),Zinc (mg),Potassium (mg),Sodium (mg),Chloride (g),Vitamin A (µg),Vitamin C (mg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B6 (mg),Folate (µg),Vitamin B12 (µg)
Chicken Breast,1.5,31,0,3.6,0,1,100,15,70,1,0.9,29,0.02,240,27,0.9,320,65,0.1,5,0,0.1,0.3,0.3,0.09,0.18,10,0.6,9,0.4
Brown Rice,0.4,2.6,23,0.9,1.8,0.2,100,10,110,2,0.5,44,1.1,103,10,0.6,86,1,0.01,0,0,0,0.3,0.8,0.1,0.02,1.5,0.15,4,0
Broccoli,0.75,2.5,6,0.3,2.4,0.1,100,47,30,15,0.7,21,0.2,66,3,0.4,316,33,0.07,31,89,0,0.8,102,0.07,0.12,0.6,0.18,63,0
Almonds,0.65,6,3.5,14,3.5,1.1,100,269,1000,1,3.7,270,2.2,481,4,3.1,733,1,0.01,0,0,0,25.6,0,0.2,1.1,3.6,0.14,44,0
Whole Milk,0.28,3.3,4.8,3.25,0,1.9,100,113,30,20,0.1,10,0.01,84,3,0.4,132,43,0.1,46,1,0.1,0.1,0.3,0.05,0.18,0.1,0.04,5,0.4
Quinoa,0.42,4.4,21,1.9,2.8,0.2,100,47,590,1,4.6,197,2,457,8,3.1,563,7,0.05,1,0,0,2.4,0,0.4,0.3,1.5,0.5,184,0
Salmon,2,20,0,13,0,3,100,12,220,30,0.5,27,0.02,240,36,0.5,360,50,0.1,9,0,11,0.8,0.3,0.2,0.2,7,0.6,23,3
Avocado,1.2,2,9,15,7,2.1,100,12,190,2,0.6,29,0.14,52,0.4,0.6,485,7,0.05,7,10,0,2.1,21,0.07,0.13,1.7,0.26,81,0
Sweet Potato,0.5,2,20,0.1,3,0.1,100,30,150,1,0.6,25,0.3,47,0.6,0.3,337,55,0.08,709,2,0,0.3,1.8,0.08,0.06,0.7,0.2,11,0
Olive Oil,0.14,0,0,14,0,1.9,100,1,0,0,0.1,0,0,0,0,0,1,2,0,0,0,0,14.4,60,0,0,0,0,0,0
Spinach,0.8,2.9,3.6,0.4,2.2,0.1,100,99,130,20,2.7,79,0.9,49,1,0.5,558,79,0.08,469,28,0,2,483,0.08,0.19,0.7,0.19,194,0
Egg,0.3,6.3,0.6,5,0,1.6,50,25,30,22,0.9,6,0.01,86,15,0.6,63,62,0.09,98,0,1,0.5,0.3,0.04,0.2,0.1,0.09,22,0.6
Lentils,0.6,9,20,0.4,8,0.1,100,19,220,1,3.3,36,0.5,180,3,1.3,369,2,0.02,1,1,0,0.1,1.7,0.17,0.07,1,0.18,181,0
Banana,0.25,1.1,23,0.3,2.6,0.1,100,5,80,1,0.3,33,0.3,22,1,0.2,358,1,0.08,3,9,0,0.1,0.5,0.03,0.07,0.7,0.37,20,0
Greek Yogurt,0.9,10,3.6,5,0,3.3,100,115,20,15,0.1,11,0.01,135,14,0.5,141,36,0.08,14,0,0,0.1,0.2,0.04,0.2,0.2,0.05,12,0.4
